Temperature(C),Humidity(%),Pressure(Pa),Counts_0.3um(#/0.1L),Counts_0.5um(#/0.1L),Counts_1.0um(#/0.1L),Counts_2.5um(#/0.1L),Counts_5.0um(#/0.1L),Counts_10.0um(#/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10(ug/m3),PM1_Atm(ug/m3),PM2.5_Atm(ug/m3),PM10_Atm(ug/m3)
21.702028081123245,42.51092043681747,86101.8096723869,3135.0514820592825,1015.4758190327614,234.05928237129484,19.723868954758192,4.12792511700468,2.656786271450858,22.677847113884557,38.049921996879874,42.425897035881434,20.585803432137286,33.69422776911077,40.802652106084246
17.27970813064628,65.15774843641418,86140.79777623349,3275.0896455872135,1063.0118137595553,268.86553161918,22.40757470465601,5.501737317581654,3.742529534398888,24.34572619874913,42.06601806810285,48.03127171646977,21.89298123697012,36.071230020847814,44.111188325225854
18.26050712052796,60.686349426884334,86288.1153178187,1893.732893365752,613.0826675929142,122.4574505036471,12.371309482459187,5.164293157346301,3.863841611670719,13.53108718304967,20.70545328238972,25.99965265717263,13.216047238624522,20.07849947898576,25.597429663077456
20.905837387074357,48.64176511466296,86254.01841556636,2273.385337039611,734.8012508686588,133.87769284225158,10.303683113273106,2.8148019457956917,1.8908964558721335,16.427380125086867,24.157400972897847,27.07956914523975,14.666087560806115,21.437456567060458,24.941278665740096
21.98817802503477,39.544158553546595,86099.33031988873,3328.7555632823364,1077.0782336578582,212.75764951321278,15.491655076495132,3.5827538247566064,2.3765646731571626,24.44819193324061,37.10952712100139,40.86474269819193,21.12134909596662,32.13212795549374,39.19367176634214
23.232080723729993,33.77174669450243,86120.30688935283,3894.2442588726512,1260.6534446764092,261.0323590814196,19.393528183716075,3.9081419624217117,2.5605427974947808,28.778357689631175,44.63152400835073,48.69171885873347,23.11482254697286,35.522268615170496,43.51948503827418
22.34932221063608,45.37851929092805,86305.23670490093,5507.718109141467,1785.8150851581509,418.2881473757386,32.72957942301008,5.873826903023983,3.6374695863746958,41.22905804657629,67.82829336114008,74.0524852276677,30.415015641293014,49.333333333333336,57.6760514424748
23.159833217512162,41.22828353022933,86352.24496177901,3192.2133425990273,1034.8874218207088,240.31271716469772,16.85823488533704,3.3370396108408618,2.0364836692147326,23.157748436414177,37.64628214037526,41.12612925642807,19.449617790132034,30.797428769979152,36.39193884642113
22.610724233983287,49.60689415041783,86248.15320334262,4271.979456824512,1386.3151114206128,342.08948467966576,23.004874651810585,4.178969359331476,2.4637883008356547,31.451949860724234,52.57172701949861,57.023676880222844,25.731894150417826,41.71065459610028,50.15529247910864
23.014255910987483,43.290333796940196,86251.90959666204,4501.270514603616,1460.779554937413,356.2548678720445,25.4836578581363,4.679763560500695,2.8550069541029206,33.115090403337966,55.36578581363004,60.29554937413074,26.47287899860918,42.730876216968014,52.69054242002782
20.922461752433936,46.76077885952712,86195.6797635605,4179.5636300417245,1354.9603616133518,313.9732267037552,22.65924895688456,4.092141863699583,2.5316411682892905,31.08692628650904,50.88386648122392,55.307719054242,25.3567454798331,40.565020862308764,48.96070931849791
19.211605281445447,38.092425295343986,86183.35892981237,3278.7696316886727,1061.919041000695,233.5135510771369,18.308547602501736,3.768241834607366,2.419388464211258,24.25573314801946,39.014246004169564,43.014246004169564,20.649409312022236,32.43780403057679,39.26997915218902
19.695274496177902,52.48714384989576,86230.58964558721,6612.036831132731,2147.1414176511466,599.6685198054205,60.240444753300906,11.8498957609451,7.337734537873524,48.91591382904795,90.56740792216817,102.8735232800556,34.23419041000695,61.87074357192495,74.45448227936066
20.16788321167883,59.772332290580465,86297.93812999652,6141.139381299965,1995.9478623566215,598.0090371915189,63.67466110531804,13.177267987486966,8.166145290232881,44.43169968717414,86.4118873826903,100.10427528675704,31.8380257212374,58.941605839416056,72.78136948209941
21.76069565217391,58.18921739130435,86298.26747826087,4748.788869565217,1542.721391304348,442.91965217391305,39.96208695652174,8.066782608695652,4.954086956521739,34.48173913043478,64.52452173913044,73.07930434782608,27.497739130434784,47.31721739130435,59.85182608695652
21.85507900677201,59.73002257336343,86343.1683972912,5187.253724604966,1686.1756207674944,485.02392776523703,42.46049661399549,8.350338600451467,5.025733634311512,37.48171557562077,69.59097065462754,78.33182844243792,28.709255079006773,49.352595936794586,62.410835214446955
30.557279236276848,31.93436754176611,86236.3031026253,5796.348448687351,1881.4486873508354,475.16109785202866,39.42959427207637,7.09546539379475,4.448687350835322,42.54057279236277,73.23269689737471,80.56085918854416,31.155131264916466,51.58353221957041,64.05847255369929
29.156356220258328,31.837525492862,86400.42760027193,4961.966689326989,1608.5873555404487,387.231135282121,32.02651257647859,5.845683208701564,3.709721278042148,36.3256288239293,61.30795377294358,67.38681169272604,28.310673011556766,45.7668252889191,57.48470428280081
27.704900938477582,32.23114355231144,86478.37122002085,5084.182134167536,1647.1525895029545,379.67813694820995,31.69690649982621,5.847758081334724,3.761557177615572,37.337156760514425,61.64198818213417,67.73027459158845,28.823079596802224,46.01286061870003,57.82064650677789
26.449078901633648,34.93361140076468,86449.8039624609,5272.614181438999,1708.9586374695864,401.50643030935004,34.48974626346889,6.253736531108794,3.997566909975669,38.658324643726104,64.5707334028502,71.0528328119569,29.254779283976365,47.15397984011123,59.094195342370526
27.225582203684393,33.15676051442475,86356.02050747306,5581.354883559263,1809.5349322210636,424.33298574904416,35.72610358011818,6.40424052832812,4.077163712200209,41.098018769551615,68.38964198818213,75.00278067431353,30.43830378866875,49.06360792492179,61.41049704553354
